Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
large_A_27.rb,1932.11,1621.88,0.0024614,4284,8624,1,1
scfxm1-2r.rb,2042.07,1757.29,0.0151197,37980,65943,1,1
adder_dcop_05.rb,1370.57,1313.78,0.00187718,1813,1813,1,1
qpband.rb,1877.26,1773.37,0.0038809,20000,20000,1,1
nemeth18.rb,3994.09,7842.67,0.0162816,9506,9506,4,1
hydr1c_Zeros_33.rb,80.1503,103.64,0.00207765,5308,5308,0,0
sctap1-2r_A_01.rb,1878.48,1307.44,0.00120443,270,594,0,0
bp_800.rb,1743.84,1499.25,0.00160994,822,822,0,0
hydr1c_A_19.rb,1961.41,1691.3,0.00322559,5308,5308,0,0
bcsstk35.rb,3283.96,5587.06,0.0320823,30237,30237,6,3
extr1b_Zeros_08.rb,67.8751,83.9001,0.00184358,2836,2836,0,0
adder_dcop_40.rb,1418.18,1343.91,0.0018481,1813,1813,1,1
mark3jac060sc.rb,2052.84,2036.31,0.0105486,27449,27449,1,1
extr1b.rb,1926.12,1622.22,0.00218425,2836,2836,0,0
g7jac160.rb,1563.11,1531.71,0.0377481,47430,47430,1,1
gen2.rb,1892.41,2197.94,0.00536524,1121,3264,2,1
hydr1c_A_72.rb,1974.03,1678.68,0.00314239,5308,5308,0,0
nemeth07.rb,4268.77,6636.33,0.00995426,9506,9506,3,1
t520.rb,4204.1,9519.26,0.00708164,5563,5563,6,6
California.rb,412.773,770.539,0.00338972,9664,9664,0,0
ch6-6-b5.rb,2007.24,1597.46,0.00136951,720,4320,1,1
G29.rb,3308.45,3000.44,0.00267202,2000,2000,0,0
G58.rb,3972.78,3475.91,0.00280932,5000,5000,1,1
Ga41As41H72.rb,3051.98,3160.31,0.489167,268096,268096,2,1
twotone.rb,1479.59,1374.78,0.0740871,120750,120750,1,1
jan99jac080.rb,1938.71,1887.5,0.0109116,27534,27534,1,1
fpga_dcop_02.rb,1878.28,1572.24,0.00168212,1220,1220,0,0
appu.rb,1523.1,1444.31,0.113085,14000,14000,1,1
illc1033.rb,1781.77,1889.48,0.00254528,1033,320,0,0
cep1.rb,2114.96,1833.55,0.00172707,1521,4769,1,1
oscil_dcop_07.rb,1658.55,1312.13,0.0012918,430,430,0,0
n3c6-b7.rb,2207.01,2055.46,0.0039795,6435,6435,1,1
se_G_12.rb,2452.5,2163.25,0.00454328,16384,16384,0,0
bcsstm38.rb,1082.39,1092.96,0.00253974,8032,8032,0,0
bcsstm04.rb,542.116,251.322,0.0012045,132,132,1,1
hydr1.rb,1961.5,1745.6,0.0032245,5308,5308,0,0
oscil_dcop_43.rb,1636.64,1279.03,0.00130316,430,430,0,0
bfly_G_04.rb,2550.67,1964.61,0.00131883,384,384,0,0
flower_7_4.rb,1296.92,1197.54,0.0154645,27693,67593,1,1
nos7.rb,3057.52,2487.0,0.00142373,729,729,0,0
us04.rb,1647.23,1602.42,0.0151102,163,28016,1,1
TSOPF_RS_b2383_c1_b.rb,516.578,1505.09,0.00454689,38120,653,0,0
scfxm1-2b_A_1.rb,1974.14,1584.8,0.00137944,684,1179,1,1
c-66b.rb,3061.38,3226.52,0.0175041,49989,49989,2,1
c-40.rb,3473.69,3544.02,0.00404415,9941,9941,1,1
orbitRaising_3.rb,3281.4,2817.81,0.00178764,761,761,0,0
Trec14.rb,1335.91,1696.93,0.365879,3159,15905,0,0
t2d_q9_A_05.rb,2347.79,2563.48,0.00578169,9801,9801,3,1
adder_dcop_07.rb,1457.75,1344.25,0.00180759,1813,1813,1,1
