Phase	Benchmark	Mode	Feature	Value
Dense	dixmaanl.mtx	dia	Fletcher_sum	0

Dense	dixmaanl.mtx	ell	Outer	20
Dense	dixmaanl.mtx	ell	Inner	500
Dense	dixmaanl.mtx	ell	N	1000
Dense	dixmaanl.mtx	ell	NNZ	1000000
Dense	dixmaanl.mtx	ell	SD	50.307787
Dense	dixmaanl.mtx	ell	MFLOPS_s	2604.64
Dense	dixmaanl.mtx	ell	MFLOPS_median	2629.41
Dense	dixmaanl.mtx	ell	Time	7.67859
Dense	dixmaanl.mtx	ell	Fletcher_sum	0

Dense	dixmaanl.mtx	coo	Outer	20
Dense	dixmaanl.mtx	coo	Inner	500
Dense	dixmaanl.mtx	coo	N	1000
Dense	dixmaanl.mtx	coo	NNZ	1000000
Dense	dixmaanl.mtx	coo	SD	12.4672
Dense	dixmaanl.mtx	coo	MFLOPS_s	905.658
Dense	dixmaanl.mtx	coo	MFLOPS_median	908.031
Dense	dixmaanl.mtx	coo	Time	22.0834
Dense	dixmaanl.mtx	coo	Fletcher_sum	0

Sparse	ecology1.mtx	csr	Outer	20
Sparse	ecology1.mtx	csr	Inner	1
Sparse	ecology1.mtx	csr	N	1000000
Sparse	ecology1.mtx	csr	NNZ	4996000
Sparse	ecology1.mtx	csr	SD	23.199632
Sparse	ecology1.mtx	csr	MFLOPS_s	2363.94
Sparse	ecology1.mtx	csr	MFLOPS_median	2352.14
Sparse	ecology1.mtx	csr	Time	0.084537
Sparse	ecology1.mtx	csr	Fletcher_sum	60935

Sparse	ecology1.mtx	dia	Outer	20
Sparse	ecology1.mtx	dia	Inner	1
Sparse	ecology1.mtx	dia	N	1000000
Sparse	ecology1.mtx	dia	NNZ	4996000
Sparse	ecology1.mtx	dia	SD	86.930500
Sparse	ecology1.mtx	dia	MFLOPS_s	3832.61
Sparse	ecology1.mtx	dia	MFLOPS_median	3873.63
Sparse	ecology1.mtx	dia	Time	0.052142
Sparse	ecology1.mtx	dia	Fletcher_sum	60935

Sparse	ecology1.mtx	ell	Outer	20
Sparse	ecology1.mtx	ell	Inner	1
Sparse	ecology1.mtx	ell	N	1000000
Sparse	ecology1.mtx	ell	NNZ	4996000
Sparse	ecology1.mtx	ell	SD	45.269813
Sparse	ecology1.mtx	ell	MFLOPS_s	2146.26
Sparse	ecology1.mtx	ell	MFLOPS_median	2159.45
Sparse	ecology1.mtx	ell	Time	0.093111
Sparse	ecology1.mtx	ell	Fletcher_sum	60935

Sparse	ecology1.mtx	coo	Outer	20
Sparse	ecology1.mtx	coo	Inner	1
Sparse	ecology1.mtx	coo	N	1000000
Sparse	ecology1.mtx	coo	NNZ	4996000
Sparse	ecology1.mtx	coo	SD	9.66413
Sparse	ecology1.mtx	coo	MFLOPS_s	1486.58
Sparse	ecology1.mtx	coo	MFLOPS_median	1473.56
Sparse	ecology1.mtx	coo	Time	0.134429
Sparse	ecology1.mtx	coo	Fletcher_sum	60935

Dense	ecology1.mtx	csr	Outer	20
Dense	ecology1.mtx	csr	Inner	500
Dense	ecology1.mtx	csr	N	1000
Dense	ecology1.mtx	csr	NNZ	1000000
Dense	ecology1.mtx	csr	SD	10.036341
Dense	ecology1.mtx	csr	MFLOPS_s	1985.55
Dense	ecology1.mtx	csr	MFLOPS_median	1976.8
Dense	ecology1.mtx	csr	Time	10.0728
Dense	ecology1.mtx	csr	Fletcher_sum	0

Dense	ecology1.mtx	dia	Outer	20
Dense	ecology1.mtx	dia	Inner	500
Dense	ecology1.mtx	dia	N	1000
Dense	ecology1.mtx	dia	NNZ	1000000
Dense	ecology1.mtx	dia	SD	155.314475
Dense	ecology1.mtx	dia	MFLOPS_s	4779.78
Dense	ecology1.mtx	dia	MFLOPS_median	4630.81
Dense	ecology1.mtx	dia	Time	4.18429
Dense	ecology1.mtx	dia	Fletcher_sum	0

Dense	ecology1.mtx	ell	Outer	20
Dense	ecology1.mtx	ell	Inner	500
Dense	ecology1.mtx	ell	N	1000
Dense	ecology1.mtx	ell	NNZ	1000000
Dense	ecology1.mtx	ell	SD	41.379661
Dense	ecology1.mtx	ell	MFLOPS_s	2578.65
Dense	ecology1.mtx	ell	MFLOPS_median	2514.88
Dense	ecology1.mtx	ell	Time	7.756
Dense	ecology1.mtx	ell	Fletcher_sum	0

Dense	ecology1.mtx	coo	Outer	20
Dense	ecology1.mtx	coo	Inner	500
Dense	ecology1.mtx	coo	N	1000
Dense	ecology1.mtx	coo	NNZ	1000000
Dense	ecology1.mtx	coo	SD	1.73026
Dense	ecology1.mtx	coo	MFLOPS_s	914.219
Dense	ecology1.mtx	coo	MFLOPS_median	913.873
Dense	ecology1.mtx	coo	Time	21.8766
Dense	ecology1.mtx	coo	Fletcher_sum	0

Sparse	jnlbrng1.mtx	csr	Outer	20
Sparse	jnlbrng1.mtx	csr	Inner	500
Sparse	jnlbrng1.mtx	csr	N	40000
Sparse	jnlbrng1.mtx	csr	NNZ	199200
Sparse	jnlbrng1.mtx	csr	SD	8.831094
Sparse	jnlbrng1.mtx	csr	MFLOPS_s	2693.26
Sparse	jnlbrng1.mtx	csr	MFLOPS_median	2695.47
Sparse	jnlbrng1.mtx	csr	Time	1.47925
Sparse	jnlbrng1.mtx	csr	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	dia	Outer	20
Sparse	jnlbrng1.mtx	dia	Inner	500
Sparse	jnlbrng1.mtx	dia	N	40000
Sparse	jnlbrng1.mtx	dia	NNZ	199200
Sparse	jnlbrng1.mtx	dia	SD	638.891024
Sparse	jnlbrng1.mtx	dia	MFLOPS_s	16482.2
Sparse	jnlbrng1.mtx	dia	MFLOPS_median	16187.6
Sparse	jnlbrng1.mtx	dia	Time	0.241716
Sparse	jnlbrng1.mtx	dia	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	ell	Outer	20
Sparse	jnlbrng1.mtx	ell	Inner	500
Sparse	jnlbrng1.mtx	ell	N	40000
Sparse	jnlbrng1.mtx	ell	NNZ	199200
Sparse	jnlbrng1.mtx	ell	SD	8.272709
Sparse	jnlbrng1.mtx	ell	MFLOPS_s	3070.09
Sparse	jnlbrng1.mtx	ell	MFLOPS_median	3063.73
Sparse	jnlbrng1.mtx	ell	Time	1.29768
Sparse	jnlbrng1.mtx	ell	Fletcher_sum	63755

Sparse	jnlbrng1.mtx	coo	Outer	20
Sparse	jnlbrng1.mtx	coo	Inner	500
Sparse	jnlbrng1.mtx	coo	N	40000
Sparse	jnlbrng1.mtx	coo	NNZ	199200
Sparse	jnlbrng1.mtx	coo	SD	8.17446
Sparse	jnlbrng1.mtx	coo	MFLOPS_s	1612.91
Sparse	jnlbrng1.mtx	coo	MFLOPS_median	1613.81
Sparse	jnlbrng1.mtx	coo	Time	2.47007
Sparse	jnlbrng1.mtx	coo	Fletcher_sum	63755

