Phase	Benchmark	Mode	Feature	Value
Dense	dixmaanl.mtx	ell	Outer	3
Dense	dixmaanl.mtx	ell	Inner	500
Dense	dixmaanl.mtx	ell	N	1000
Dense	dixmaanl.mtx	ell	NNZ	1000000
Dense	dixmaanl.mtx	ell	SD	16.182828
Dense	dixmaanl.mtx	ell	MFLOPS_s	2520.11
Dense	dixmaanl.mtx	ell	MFLOPS_median	2510.02
Dense	dixmaanl.mtx	ell	Time	1.19042
Dense	dixmaanl.mtx	ell	Fletcher_sum	0

Dense	dixmaanl.mtx	coo	Outer	3
Dense	dixmaanl.mtx	coo	Inner	500
Dense	dixmaanl.mtx	coo	N	1000
Dense	dixmaanl.mtx	coo	NNZ	1000000
Dense	dixmaanl.mtx	coo	SD	3.49095
Dense	dixmaanl.mtx	coo	MFLOPS_s	902.357
Dense	dixmaanl.mtx	coo	MFLOPS_median	904.699
Dense	dixmaanl.mtx	coo	Time	3.32463
Dense	dixmaanl.mtx	coo	Fletcher_sum	0

Sparse	ecology1.mtx	csr	Outer	3
Sparse	ecology1.mtx	csr	Inner	1
Sparse	ecology1.mtx	csr	N	1000000
Sparse	ecology1.mtx	csr	NNZ	4996000
Sparse	ecology1.mtx	csr	SD	36.108272
Sparse	ecology1.mtx	csr	MFLOPS_s	2348.3
Sparse	ecology1.mtx	csr	MFLOPS_median	2323.75
Sparse	ecology1.mtx	csr	Time	0.012765
Sparse	ecology1.mtx	csr	Fletcher_sum	60935

Sparse	ecology1.mtx	coo	Outer	3
Sparse	ecology1.mtx	coo	Inner	1
Sparse	ecology1.mtx	coo	N	1000000
Sparse	ecology1.mtx	coo	NNZ	4996000
Sparse	ecology1.mtx	coo	SD	3.48011
Sparse	ecology1.mtx	coo	MFLOPS_s	1497.15
Sparse	ecology1.mtx	coo	MFLOPS_median	1499.29
Sparse	ecology1.mtx	coo	Time	0.020022
Sparse	ecology1.mtx	coo	Fletcher_sum	60935

Sparse	ecology1.mtx	dia	Outer	3
Sparse	ecology1.mtx	dia	Inner	1
Sparse	ecology1.mtx	dia	N	1000000
Sparse	ecology1.mtx	dia	NNZ	4996000
Sparse	ecology1.mtx	dia	SD	176.651656
Sparse	ecology1.mtx	dia	MFLOPS_s	3661.86
Sparse	ecology1.mtx	dia	MFLOPS_median	3599.81
Sparse	ecology1.mtx	dia	Time	0.008186
Sparse	ecology1.mtx	dia	Fletcher_sum	60935

Sparse	ecology1.mtx	ell	Outer	3
Sparse	ecology1.mtx	ell	Inner	1
Sparse	ecology1.mtx	ell	N	1000000
Sparse	ecology1.mtx	ell	NNZ	4996000
Sparse	ecology1.mtx	ell	SD	11.386689
Sparse	ecology1.mtx	ell	MFLOPS_s	1974.44
Sparse	ecology1.mtx	ell	MFLOPS_median	1980.23
Sparse	ecology1.mtx	ell	Time	0.015182
Sparse	ecology1.mtx	ell	Fletcher_sum	60935

Dense	ecology1.mtx	csr	Outer	3
Dense	ecology1.mtx	csr	Inner	500
Dense	ecology1.mtx	csr	N	1000
Dense	ecology1.mtx	csr	NNZ	1000000
Dense	ecology1.mtx	csr	SD	7.305012
Dense	ecology1.mtx	csr	MFLOPS_s	1957.46
Dense	ecology1.mtx	csr	MFLOPS_median	1952.34
Dense	ecology1.mtx	csr	Time	1.5326
Dense	ecology1.mtx	csr	Fletcher_sum	0

Dense	ecology1.mtx	dia	Outer	3
